,ca25,ytd26,g_ytd,g_q3,land26,g27,ca27
Vente privée FR,2583.2,3267.6,0.48913093013717335,0.217,3740.8912999999993,0.1085,4146.778006049999
Maisons du Monde,2319.4,1901.7,-0.0039805164196301535,-0.08,2278.992,-0.04,2187.83232
Amazon,2218.1,1274.7,-0.29445951181712515,-0.251,1582.8386,-0.1255,1384.1923557000002
ConceptUsine,1771.4,1321.2,-0.16764316764316756,-0.113,1484.4967000000001,-0.0565,1400.62263645
Leroy Merlin,1630.0,1222.8,-0.18669770535417363,-0.146,1330.831,-0.073,1233.680337
But,463.3,257.8,-0.2574884792626727,-0.454,339.07000000000005,-0.2,271.25600000000003
ManoMano,352.0,340.0,0.16318850496065673,-0.002,399.5806,-0.001,399.1810194
Groupon,317.4,355.6,0.5575996495838809,0.827,471.42999999999995,0.2,565.7159999999999
Cdiscount,301.9,228.5,-0.027245636441038723,-0.149,285.517,-0.0745,264.24598349999997
Vente Unique,249.6,334.0,0.6616915422885572,0.529,397.18,0.2,476.616
Showroomprivé,243.3,450.7,1.1889266634288487,1.3,499.32,0.2,599.184
Castorama,195.1,243.7,0.34196035242290757,0.155,259.2925,0.0775,279.38766875
Brico Marché,154.6,242.9,0.6903270702853168,0.697,257.07,0.2,308.484
Nature & Découvertes,54.3,235.5,36.38095238095238,,304.7857142857143,0.2,365.74285714285713
Leclerc,38.1,79.1,1.197222222222222,0.951,81.83,0.2,98.196
Autres canaux,621.3999999999996,506.79999999999745,-0.029304730894466835,-0.029304730894466835,603.1900402221779,-0.014652365447233417,594.3518793187111
TOTAL,13513.099999999999,12262.599999999995,,,14252.31545450789,,14511.467063311567
