prefixe,canal,ca_n1_total,ca_n1_a_date,ca_n_a_date,ca_recent_n1,ca_recent_n,nouveau
VP,Vente privée FR,2583204.00,2194252.90,3267587.41,823044.82,1001754.46,0
MM,Maisons du Monde,2319424.15,1909266.15,1901652.15,586223.25,539166.73,0
AM,Amazon,2218132.55,1806673.69,1274691.80,523968.39,392584.27,0
SH,ConceptUsine,1771380.38,1587269.77,1321223.53,523661.03,464765.17,0
LM,Leroy Merlin,1629957.10,1503456.22,1222771.52,522355.65,446225.27,0
BT,But,463275.71,347235.21,257801.90,117974.86,64439.20,0
MA,ManoMano,352038.53,292349.87,339995.71,114790.19,114577.27,0
GP,Groupon,317355.55,228274.68,355619.90,72938.12,133289.18,0
CD,Cdiscount,301929.26,234932.27,228535.73,81083.69,69008.04,0
VU,Vente Unique,249551.27,200976.05,334045.58,71641.10,109514.69,0
SR,Showroomprivé,243323.08,205926.91,450710.37,86933.98,199930.80,0
CT,Castorama,195072.04,181647.84,243723.55,82643.94,95439.38,0
BO,Brico Marché,154620.55,143650.27,242948.46,68429.80,116121.96,0
ND,Nature & Découvertes,54265.68,6347.10,235463.79,6347.10,100046.01,1
LC,Leclerc,38133.80,36024.80,79143.90,15080.10,29415.90,0
*,TOTAL,13513096.82,11400355.80,12262565.98,3889872.19,4035288.19,0
