periode,ca,ca_brut,avoir
2020-01,808553.06,,
2020-02,547132.13,,
2020-03,1152599.31,,
2020-04,5321647.87,,
2020-05,4723806.88,,
2020-06,2720549.92,,
2020-07,4156470.23,,
2020-08,3146429.75,,
2020-09,867147.37,,
2020-10,452302.93,,
2020-11,853598.98,,
2020-12,561426.67,,
2021-01,858363.26,889172.38,26057.42
2021-02,1357836.07,1405334.92,44245.18
2021-03,2479345.62,2558142.34,61630.50
2021-04,2975074.51,3080452.59,74211.79
2021-05,3177932.48,3305770.40,86375.61
2021-06,3093194.89,3216988.23,82171.13
2021-07,3031562.24,3148946.69,104872.33
2021-08,1342529.76,1384468.36,36210.17
2021-09,774217.41,803500.69,23146.61
2021-10,750241.27,785605.99,23408.20
2021-11,905924.94,958592.61,37755.68
2021-12,487185.38,509064.07,19798.30
2022-01,1155215.05,,
2022-02,1080989.88,,
2022-03,1140604.98,,
2022-04,1969915.64,,
2022-05,3689972.71,,
2022-06,2353384.04,,
2022-07,1763250.69,,
2022-08,1407191.93,,
2022-09,782282.38,,
2022-10,537743.85,,
2022-11,942968.93,,
2022-12,497789.88,,
2023-01,850867.13,889559.32,36712.22
2023-02,770243.65,803308.26,30427.87
2023-03,917489.99,960859.29,38469.43
2023-04,1399076.37,1452689.17,39084.87
2023-05,1539957.14,1626656.10,50492.47
2023-06,1848156.80,1922018.07,61362.77
2023-07,2582368.68,2683916.80,92042.90
2023-08,1131247.05,1176871.52,41789.49
2023-09,552366.32,579346.74,25200.88
2023-10,627801.28,655526.93,24536.15
2023-11,706330.21,745066.29,29969.94
2023-12,659865.70,698547.12,33228.43
2024-01,938641.18,,
2024-02,697115.59,,
2024-03,861680.17,,
2024-04,1305906.08,,
2024-05,1615252.13,,
2024-06,1542698.58,,
2024-07,2280755.17,,
2024-08,1416438.01,,
2024-09,683158.62,,
2024-10,647516.39,,
2024-11,740390.40,,
2024-12,846550.57,,
2025-01,840890.06,896289.92,53911.52
2025-02,876451.87,929561.21,47234.58
2025-03,1059259.47,1131344.90,67203.14
2025-04,1372014.75,1443731.53,63558.54
2025-05,1546457.05,1626334.73,74560.19
2025-06,1815410.41,1911200.78,88000.75
2025-07,2232469.48,2343271.33,105011.17
2025-08,1217810.46,1304405.01,80885.29
2025-09,542954.34,575688.18,30985.09
2025-10,557720.78,604396.57,45601.80
2025-11,780040.04,840787.49,56817.02
2025-12,671618.11,725053.59,48715.91
2026-01,986012.48,1050871.84,62522.37
2026-02,762363.71,804337.61,40446.05
2026-03,1388904.33,1457390.17,64531.60
2026-04,1504900.32,1598359.53,71939.81
2026-05,1640740.06,1755716.56,104919.02
2026-06,1944066.99,2049686.53,101155.90
2026-07,2418569.98,2525117.23,101143.75
2026-08,1181148.29,1227424.52,43053.79
2026-09,448212.72,455025.76,5880.11
